zip_code,project_status,planning_neighborhood,lead_agency,general_housing_program,specific_program_area,project_type,housing_tenure,project_lead_sponsor,total_project_units,mohcd_affordable_units,%_affordable,sro_units,studio_units,1bd_units,2bd_units,3bd_units,4bd_units,5+_bd_units,mobility_units,family_units,senior_units,tay_units,homeless_units,disabled_units,losp_units,public_housing_replacement_units,20%_ami,30%_ami,40%_ami,50%_ami,55%_ami,60%_ami,80%_ami,90%_ami,100%_ami,105%_ami,110%_ami,120%_ami,130%_ami,150%_ami,ami_undeclared
94103,Construction,South of Market,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,The John Stewart Company (delete),95,94,99,0,30,64,0,0,0,0,45,0,94,0,24,0,24,0,0,8,0,10,0,40,36,0,0,0,0,0,0,0,0
94103,Pre-Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Chris Elsey,189,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,7,0,0,0,6,0,0,0,0
94103,Pre-Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Prime Design LLC,149,26,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,5,0,0,0,0
94103,Pre-Construction,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Mission Housing Development Corporation,136,136,100,0,89,47,0,0,0,0,0,0,0,0,136,0,0,0,0,68,0,68,0,0,0,0,0,0,0,0,0,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Dragonfly Assets C-54, LLC",20,2,10,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,RG Architecture,24,3,13,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Sia Consulting Corp,57,13,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"828 Brannan Partners, LLC (c/o The S. Hekemian Group)",50,9,18,0,2,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Build Inc,495,66,13,0,26,19,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,14,0,0,0,14,0,0,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Golden Properties, LLC",59,14,24,0,0,6,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,2,0,0,0,0
